ID,Object_Name,Keyword,Tooltip,Value,Result
207,:KoolProg.Multiple controller programming_RadioButton,Enable,,true,True
208,:KoolProg.START_Label,Enable,,true,True
210,:KoolProg.Product Name:_Label,Enable,,true,True
211,:KoolProg.Product Name:_Label,Text,,Product Name:,True
212,:KoolProg.Code Number : _Label,Enable,,true,True
213,:KoolProg.Code Number : _Label,Text,,Code Number:,True
214,:KoolProg.SWVersion: _Label,Enable,,true,True
215,:KoolProg.SWVersion: _Label,Text,,SWVersion: ,True
217,:KoolProg.SET AS FAVOURITE_Button,Enable,,true,True
218,:KoolProg.SET AS FAVOURITE_Button,Visible_S,,true,True
220,{container=':KoolProg_Window' name='dgFavoriteFiles' type='Table'},Enable,,true,True
221,{container=':KoolProg_Window' name='dgFavoriteFiles' type='Table'},Visible_F,,false,True
