ID,Object_Name,Keyword,Tooltip,Value,Result
217,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Enable,,true,True
218,:KoolProg.User_Label,Enable,,true,True
219,:KoolProg.User_Label,Text,,User,True
220,:_MenuItem,Tooltip,Help,,True
221,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Tooltip,Preferences,,True
222,{container=':KoolProg_Window' name='imgSetParams' type='Image'},Enable,,true,True
223,{container=':KoolProg_Window' name='imgCopycontroller' type='Image'},Enable,,true,True
224,{container=':KoolProg_Window' name='imgServicetest' type='Image'},Enable,,true,True
225,{container=':KoolProg_Window' name='btnSetparameters'  text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,Create and work on configuration files offline,,True
226,{container=':KoolProg_Window' name='btnCopytocontroller' text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,Program controllers with saved configurations on your PC/Laptop,,True
227,{container=':KoolProg_Window' name='btnServiceTest' text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,"Trend, monitor and analyze controller behaviour",,True
228,:KoolProg.Set parameters_Label,Text,,Set parameters,True
229,:KoolProg.Copy to controller_Label,Text,,Copy to controller,True
230,:KoolProg.Service and test_Label,Text,,Service and test,True
231,:KoolProg.www.danfoss.com_Label,Enable,,true,True
232,:KoolProg.www.danfoss.com_Label,Text,,www.danfoss.com,True
234,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Click_Button,,,True
235,:Settings_Window,Enable,,true,True
236,:Settings_Window,Type,,Window,True
237,:_MenuItem,Enable_Popup,,false,True
238,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Enable_S,,true,True
239,{container=':KoolProg_Window' name='imgSetParams' type='Image'},Enable_Popup,,false,True
240,{container=':KoolProg_Window' name='imgCopycontroller' type='Image'},Enable_Popup,,false,True
241,{container=':KoolProg_Window' name='imgServicetest' type='Image'},Enable_Popup,,false,True
242,:Settings.Preferences_Label,Enable,,true,True
243,:Settings.Preferences_Label,Text,,Preferences,True
244,:Settings.X_Button,Enable,,true,True
245,:Settings.X_Button,Tooltip,Close,,True
246,:Settings.Language:_Label,Enable,,true,True
247,:Settings.Language:_Label,Text,,Language:,True
248,:Settings.Language:_ComboBox,Enable,,true,True
249,:Settings.Language:_ComboBox,Text_Checking,,English (United States),True
250,:Settings.Save Files on:_Label,Enable,,true,True
251,:Settings.Save Files on:_Label,Text,,Save Files on:,True
252,:Settings.Save Files on:_Edit,Enable,,true,True
253,:Settings.Save Files on:_Edit,Tooltip,C:\KoolProg\Configurations,,True
254,:Settings.Save Files on:_Edit,Text,,C:\KoolProg\Configurations,True
255,:Settings.Browse.._Button,Enable,,true,True
256,:Settings.Browse.._Button,Text,,Browse..,True
257,:Settings.Unit:_Label,Enable,,true,True
258,:Settings.Unit:_Label,Text,,Unit:,True
259,:Settings.Unit:_ComboBox,Enable,,true,True
260,:Settings.Unit:_ComboBox,Text_Checking,,Metric,True
261,:Settings.CAN Baudrate:_Label,Enable,,true,True
262,:Settings.CAN Baudrate:_Label,Text,,CAN Baudrate:,True
263,:Settings.CAN Baudrate:_ComboBox,Enable,,true,True
264,:Settings.CAN Baudrate:_ComboBox,Text_Checking,,Auto,True
265,:Settings.Use password protection_CheckBox,Enable,,true,True
266,:Settings.Use password protection_CheckBox,Text,,Use password protection,True
267,:Settings.Use password protection_CheckBox,Checked,,false,True
268,:Settings.Save_Button,Enable,,true,True
269,:Settings.Save_Button,Text,,Save,True
270,:Settings.Cancel_Button,Enable,,true,True
271,:Settings.Cancel_Button,Text,,Cancel,True
272,:Settings.Save_Button,Click_Button,,,True
273,:MessageBoxDisplay_Window,Enable,,true,True
274,:MessageBoxDisplay_Window,Window,,Window,True
